cond,kind,white_point,gamma,chroma_gamma,saturation,isolate,v_lo,v_hi,patch_residual,align_correlation,align_scale,align_dx,align_dy,capture_date,capture_time,geometry_version,flat_field,camera_gain,ok
primaries#1,primaries,,,,,,,,1.98,0.793,0.96,32,-48,2026-08-29,13:12:21,3,bench-eink/reference/flat.png,,True
primaries#2,primaries,,,,,,,,1.88,0.825,0.96,12,-40,2026-08-29,13:13:07,3,bench-eink/reference/flat.png,,True
inkmix,inkmix,,,,,,,,1.91,0.447,1.02,60,-44,2026-08-29,13:13:54,3,bench-eink/reference/flat.png,,True
tonefine_wp0.0_g1.0_k1.0_s1.0,tonefine,0.0,1.0,1.0,1.0,,,,1.98,0.878,0.96,68,-48,2026-08-29,13:14:41,3,bench-eink/reference/flat.png,,True
tonefine_wp0.0_g1.4_k1.0_s1.0,tonefine,0.0,1.4,1.0,1.0,,,,1.92,0.859,0.96,40,-40,2026-08-29,13:15:27,3,bench-eink/reference/flat.png,,True
tonefine_wp0.0_g1.8_k1.0_s1.0,tonefine,0.0,1.8,1.0,1.0,,,,1.95,0.84,0.98,48,-40,2026-08-29,13:16:13,3,bench-eink/reference/flat.png,,True
tonefine_wp0.64_g1.0_k1.0_s1.0,tonefine,0.64,1.0,1.0,1.0,,,,2.03,0.744,0.96,68,-44,2026-08-29,13:17:00,3,bench-eink/reference/flat.png,,True
tonefine_wp0.64_g1.4_k1.0_s1.0,tonefine,0.64,1.4,1.0,1.0,,,,2.0,0.671,0.98,52,-40,2026-08-29,13:17:46,3,bench-eink/reference/flat.png,,True
tonefine_wp0.64_g1.8_k1.0_s1.0,tonefine,0.64,1.8,1.0,1.0,,,,2.04,0.556,0.98,88,-48,2026-08-29,13:18:33,3,bench-eink/reference/flat.png,,True
tonefine_wp0.75_g1.0_k1.0_s1.0,tonefine,0.75,1.0,1.0,1.0,,,,1.97,0.81,0.96,64,-44,2026-08-29,13:19:20,3,bench-eink/reference/flat.png,,True
tonefine_wp0.75_g1.4_k1.0_s1.0,tonefine,0.75,1.4,1.0,1.0,,,,2.06,0.73,0.96,68,-44,2026-08-29,13:20:06,3,bench-eink/reference/flat.png,,True
tonefine_wp0.75_g1.8_k1.0_s1.0,tonefine,0.75,1.8,1.0,1.0,,,,2.04,0.677,0.98,52,-40,2026-08-29,13:20:53,3,bench-eink/reference/flat.png,,True
tonefine_wp0.88_g1.0_k1.0_s1.0,tonefine,0.88,1.0,1.0,1.0,,,,2.0,0.863,0.96,40,-40,2026-08-29,13:21:39,3,bench-eink/reference/flat.png,,True
tonefine_wp0.88_g1.4_k1.0_s1.0,tonefine,0.88,1.4,1.0,1.0,,,,2.0,0.821,0.98,48,-40,2026-08-29,13:22:26,3,bench-eink/reference/flat.png,,True
tonefine_wp0.88_g1.8_k1.0_s1.0,tonefine,0.88,1.8,1.0,1.0,,,,2.08,0.774,0.98,76,-48,2026-08-29,13:23:12,3,bench-eink/reference/flat.png,,True
