cond,white_point,gamma,chroma_gamma,saturation,block_index,left,right,asymmetry
edges_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,0,0.71,254.48,253.77
edges_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,1,131.95,253.45,121.5
edges_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,2,252.26,234.1,-18.16
edges_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,3,179.93,255.0,75.07
edges_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,4,220.94,242.0,21.06
edges_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,5,8.85,192.18,183.33
edges_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,6,255.0,254.17,-0.83
edges_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,7,124.32,255.0,130.68
edges_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,0,0.0,248.49,248.49
edges_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,1,114.05,230.15,116.1
edges_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,2,179.42,48.93,-130.49
edges_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,3,59.07,255.0,195.93
edges_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,4,98.86,177.98,79.13
edges_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,5,30.33,24.61,-5.72
edges_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,6,252.39,171.03,-81.36
edges_wp0.0_g1.8_k1.0_s1.0,0.0,1.8,1.0,1.0,7,97.65,156.28,58.63
edges_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,0,0.1,254.35,254.25
edges_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,1,128.44,213.76,85.32
edges_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,2,187.76,205.55,17.79
edges_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,3,95.95,255.0,159.05
edges_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,4,147.84,169.8,21.96
edges_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,5,6.61,101.42,94.81
edges_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,6,254.89,238.59,-16.29
edges_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,7,73.27,254.98,181.71
edges_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,0,254.98,44.01,-210.96
edges_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,1,0.0,0.0,0.0
edges_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,2,0.38,56.62,56.24
edges_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,3,18.54,116.91,98.37
edges_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,4,243.98,80.23,-163.75
edges_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,5,25.27,0.07,-25.19
edges_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,6,186.33,113.5,-72.83
edges_wp0.75_g1.8_k1.0_s1.0,0.75,1.8,1.0,1.0,7,77.54,253.74,176.19
