cond,block,white_point,gamma,chroma_gamma,saturation,value_in,hue_in_deg,chroma_out,lum_out,hue_out_deg
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,40,0.0,4.07,127.23,
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,40,30.0,18.95,61.74,8.4
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,40,60.0,7.14,42.11,
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,40,90.0,0.96,2.45,
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,40,120.0,0.01,0.0,
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,40,150.0,0.0,0.0,
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,40,180.0,1.06,1.15,
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,40,210.0,29.88,42.72,227.8
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,40,240.0,41.95,71.32,219.4
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,40,270.0,23.0,63.14,235.1
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,40,300.0,5.77,55.78,
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,40,330.0,2.76,203.12,
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,81,0.0,67.96,96.34,1.4
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,81,30.0,75.38,72.88,13.5
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,81,60.0,42.91,45.84,61.7
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,81,90.0,44.29,21.95,125.4
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,81,120.0,48.31,38.53,145.0
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,81,150.0,46.0,46.74,149.1
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,81,180.0,72.04,73.46,186.9
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,81,210.0,89.27,81.6,201.3
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,81,240.0,79.93,105.58,205.4
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,81,270.0,60.02,123.47,211.2
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,81,300.0,25.89,80.91,261.7
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,81,330.0,21.9,145.42,354.7
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,122,0.0,163.97,76.88,0.9
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,122,30.0,157.81,93.43,25.0
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,122,60.0,165.46,144.74,44.2
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,122,90.0,87.32,112.38,59.4
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,122,120.0,43.31,77.98,143.3
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,122,150.0,31.97,134.44,94.5
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,122,180.0,15.16,192.8,129.0
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,122,210.0,66.26,148.97,209.6
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,122,240.0,80.93,122.75,211.3
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,122,270.0,58.88,167.47,208.5
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,122,300.0,12.31,161.64,335.0
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,122,330.0,77.93,113.16,1.2
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,163,0.0,226.88,76.12,0.3
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,163,30.0,220.9,145.14,30.5
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,163,60.0,174.9,189.68,53.7
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,163,90.0,142.55,159.4,49.6
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,163,120.0,46.89,115.74,79.2
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,163,150.0,31.0,198.71,74.3
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,163,180.0,10.44,250.75,171.4
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,163,210.0,40.39,192.48,200.7
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,163,240.0,68.4,145.1,212.1
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,163,270.0,37.03,206.4,202.9
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,163,300.0,12.97,241.53,11.6
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,163,330.0,152.55,150.42,12.9
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,204,0.0,189.83,121.15,9.6
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,204,30.0,155.77,185.44,40.5
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,204,60.0,141.33,207.83,59.9
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,204,90.0,143.77,198.25,50.0
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,204,120.0,66.5,128.08,66.4
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,204,150.0,19.49,226.77,67.8
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,204,180.0,6.76,249.7,
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,204,210.0,22.0,225.55,187.4
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,204,240.0,59.84,157.41,209.5
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,204,270.0,21.37,246.04,186.4
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,204,300.0,3.9,253.57,
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,204,330.0,62.44,202.96,7.2
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,245,0.0,134.73,150.79,13.1
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,245,30.0,106.01,219.26,59.4
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,245,60.0,105.56,219.8,60.0
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,245,90.0,104.99,219.89,59.8
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,245,120.0,64.52,184.8,55.5
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,245,150.0,7.01,251.5,
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,245,180.0,8.11,251.74,176.0
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,245,210.0,1.11,254.57,
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,245,240.0,49.83,170.16,203.2
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,245,270.0,5.21,253.24,
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,245,300.0,1.51,254.48,
huevalue_wp0.0_g1.0_k1.0_s1.0,main,0.0,1.0,1.0,1.0,245,330.0,2.16,252.23,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,40,0.0,6.96,45.83,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,40,30.0,16.89,6.9,5.2
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,40,60.0,3.81,2.47,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,40,90.0,3.13,17.73,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,40,120.0,3.5,55.33,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,40,150.0,1.79,55.08,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,40,180.0,15.06,60.84,227.2
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,40,210.0,40.04,45.15,228.5
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,40,240.0,32.91,11.28,238.6
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,40,270.0,10.32,3.63,240.9
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,40,300.0,0.93,36.31,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,40,330.0,7.2,244.73,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,81,0.0,90.63,32.95,0.9
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,81,30.0,84.04,38.06,20.7
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,81,60.0,50.38,32.4,54.6
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,81,90.0,37.94,47.54,101.9
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,81,120.0,33.4,93.7,140.7
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,81,150.0,37.5,106.75,168.0
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,81,180.0,59.12,119.53,197.7
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,81,210.0,71.93,116.88,207.9
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,81,240.0,61.19,93.73,217.3
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,81,270.0,52.04,52.01,233.3
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,81,300.0,38.24,14.11,354.4
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,81,330.0,4.08,247.93,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,0.0,167.6,64.74,8.5
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,30.0,168.89,104.89,31.3
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,60.0,164.28,144.81,44.5
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,90.0,93.57,149.56,54.2
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,120.0,33.21,149.31,81.3
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,150.0,19.28,188.52,106.3
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,180.0,30.26,193.66,200.3
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,210.0,54.18,166.99,209.5
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,240.0,48.62,182.54,210.1
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,270.0,15.62,158.62,332.6
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,300.0,81.36,84.49,356.9
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,330.0,5.06,249.03,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,0.0,184.59,128.15,11.5
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,30.0,159.66,173.9,28.7
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,60.0,122.17,209.39,53.7
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,90.0,89.87,203.24,49.9
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,120.0,34.88,190.97,64.1
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,150.0,13.29,231.93,103.6
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,180.0,17.01,236.99,189.7
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,210.0,36.16,200.63,207.3
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,240.0,32.9,221.03,202.2
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,270.0,2.62,251.22,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,300.0,110.43,173.68,10.5
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,330.0,6.28,251.0,
