cond,pair_index,ink_a,ink_b,fraction_a,out_r,out_g,out_b
inkmix,0,white,black,0.5,117.09,117.7,123.48
inkmix,1,white,blue,0.5,143.91,177.13,199.99
inkmix,2,white,green,0.5,192.69,201.96,170.23
inkmix,3,yellow,blue,0.5,222.0,207.86,152.31
inkmix,4,yellow,green,0.5,240.24,199.94,127.34
inkmix,5,red,white,0.5,248.19,180.57,127.79
inkmix,6,red,yellow,0.5,229.06,176.05,109.7
inkmix,7,black,yellow,0.5,203.01,198.41,192.37
inkmix,8,black,white,0.25,135.38,166.62,200.71
inkmix,9,blue,white,0.75,115.44,126.24,101.64
inkmix,10,green,white,0.75,194.21,83.81,77.46
inkmix,11,red,black,0.75,255.0,224.36,126.55
inkmix,12,yellow,black,0.75,253.17,197.27,185.71
inkmix,13,white,red,0.75,255.0,254.92,107.66
inkmix,14,white,yellow,0.25,251.88,253.03,252.84
