ink_a,ink_b,fraction_a,out_r,out_g,out_b
black,white,0.125,239.83,242.3,241.43
black,white,0.25,235.32,238.62,239.86
black,white,0.5,196.33,204.88,205.27
black,white,0.75,117.65,126.35,127.27
black,white,0.875,39.63,44.32,50.41
black,red,0.125,229.49,220.28,215.67
black,red,0.25,197.52,141.06,137.82
black,red,0.5,147.01,82.86,80.76
black,red,0.75,85.13,35.37,35.55
black,red,0.875,37.34,4.08,3.03
black,yellow,0.125,240.7,187.79,120.14
black,yellow,0.25,245.69,185.7,83.72
black,yellow,0.5,192.09,139.95,54.15
black,yellow,0.75,104.21,62.56,10.45
black,yellow,0.875,56.89,34.94,2.9
black,blue,0.125,92.04,120.83,159.14
black,blue,0.25,7.22,39.18,93.47
black,blue,0.5,0.0,14.44,59.53
black,blue,0.75,0.0,0.3,17.33
black,blue,0.875,8.56,7.69,11.44
black,green,0.125,73.64,101.66,76.66
black,green,0.25,2.77,29.03,2.75
black,green,0.5,17.85,25.96,9.89
black,green,0.75,34.62,29.42,27.48
black,green,0.875,59.91,54.83,54.89
white,red,0.125,228.16,107.04,98.51
white,red,0.25,222.11,95.7,67.78
white,red,0.5,228.57,170.15,150.69
white,red,0.75,241.01,213.57,201.42
white,red,0.875,245.65,234.37,224.98
white,yellow,0.125,207.11,220.69,170.13
white,yellow,0.25,198.42,213.56,161.5
white,yellow,0.5,219.54,225.46,201.29
white,yellow,0.75,230.42,234.19,227.48
white,yellow,0.875,233.88,239.08,232.92
white,blue,0.125,147.93,175.12,159.91
white,blue,0.25,153.72,168.2,150.09
white,blue,0.5,198.59,207.57,194.13
white,blue,0.75,218.24,229.07,221.45
white,blue,0.875,224.32,233.62,226.02
white,green,0.125,254.45,235.76,112.27
white,green,0.25,255.0,198.43,57.85
white,green,0.5,254.97,159.84,77.0
white,green,0.75,248.64,121.95,78.03
white,green,0.875,239.27,101.2,74.3
red,yellow,0.125,102.98,128.64,159.17
red,yellow,0.25,73.09,72.67,107.89
red,yellow,0.5,138.79,76.2,93.52
red,yellow,0.75,187.3,70.56,75.67
red,yellow,0.875,207.27,70.22,68.71
red,blue,0.125,155.96,169.23,155.06
red,blue,0.25,143.38,126.38,99.17
red,blue,0.5,174.23,111.02,87.98
red,blue,0.75,198.42,87.27,70.38
red,blue,0.875,215.03,82.84,72.06
red,green,0.125,175.51,188.95,173.29
red,green,0.25,174.86,173.5,144.86
red,green,0.5,230.74,211.74,156.72
red,green,0.75,255.0,236.9,147.78
red,green,0.875,255.0,252.63,134.83
yellow,blue,0.125,130.65,161.15,149.39
yellow,blue,0.25,94.48,128.97,119.95
yellow,blue,0.5,127.58,142.95,120.01
yellow,blue,0.75,185.73,184.12,118.45
yellow,blue,0.875,244.75,237.59,109.41
yellow,green,0.125,251.36,250.93,249.38
yellow,green,0.25,253.13,252.91,251.89
yellow,green,0.5,249.17,249.74,250.81
yellow,green,0.75,195.57,213.64,222.63
yellow,green,0.875,132.23,157.71,186.93
blue,green,0.125,253.74,252.91,252.28
blue,green,0.25,254.03,252.89,252.76
blue,green,0.5,254.07,252.29,251.61
blue,green,0.75,252.41,253.18,249.91
blue,green,0.875,252.34,252.49,250.84
