cond,white_point,gamma,chroma_gamma,saturation,period_px,orientation,contrast_in,modulation_out,retained
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,8,h,80,0.55,0.006
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,12,h,80,14.99,0.166
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,16,h,80,36.2,0.401
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,24,h,80,52.7,0.583
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,32,h,80,73.43,0.813
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,48,h,80,90.37,1.0
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,8,v,80,0.0,0.0
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,12,v,80,4.45,0.058
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,16,v,80,44.84,0.587
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,24,v,80,67.94,0.889
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,32,v,80,76.42,1.0
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,48,v,80,74.16,0.97
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,8,d,80,0.0,0.0
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,12,d,80,15.0,0.162
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,16,d,80,35.27,0.381
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,24,d,80,60.33,0.651
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,32,d,80,67.67,0.73
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,48,d,80,92.67,1.0
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,8,h,180,0.39,0.002
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,12,h,180,51.61,0.274
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,16,h,180,86.45,0.459
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,24,h,180,109.0,0.578
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,32,h,180,116.78,0.619
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,48,h,180,188.52,1.0
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,8,v,180,4.0,0.02
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,12,v,180,49.76,0.252
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,16,v,180,113.54,0.574
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,24,v,180,185.05,0.935
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,32,v,180,127.26,0.643
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,48,v,180,197.81,1.0
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,8,d,180,56.67,0.304
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,12,d,180,72.67,0.39
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,16,d,180,117.93,0.633
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,24,d,180,130.33,0.699
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,32,d,180,161.67,0.868
linepairs_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,48,d,180,186.33,1.0
