cond,white_point,gamma,chroma_gamma,saturation,centre_in,position_index,centre_out,spread,sd
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,0,104.55,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,1,180.52,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,2,252.45,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,3,252.98,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,4,255.0,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,5,254.9,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,6,253.83,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,7,249.24,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,8,251.42,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,9,235.12,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,10,248.81,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,11,253.41,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,12,253.61,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,13,252.55,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,14,247.34,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,15,254.04,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,16,254.68,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,17,255.0,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,18,252.62,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,19,224.56,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,20,253.02,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,21,245.24,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,22,249.74,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,23,244.09,150.45,31.91
surround_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,170,24,220.58,150.45,31.91
surround_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,170,0,57.79,158.26,32.89
surround_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,170,1,126.18,158.26,32.89
surround_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,170,2,184.37,158.26,32.89
surround_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,170,3,185.39,158.26,32.89
surround_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,170,4,187.04,158.26,32.89
surround_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,170,5,216.05,158.26,32.89
surround_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,170,6,199.12,158.26,32.89
surround_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,170,7,183.93,158.26,32.89
surround_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,170,8,198.5,158.26,32.89
surround_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,170,9,148.59,158.26,32.89
surround_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,170,10,198.61,158.26,32.89
surround_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,170,11,184.6,158.26,32.89
surround_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,170,12,197.88,158.26,32.89
