cond,white_point,gamma,chroma_gamma,saturation,input_value,out_lum,out_r,out_g,out_b,chroma,grain,anisotropy,hue_deg
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,100,117.26,124.72,125.79,101.26,24.54,12.99,0.248,62.2
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,104,130.61,140.66,138.51,112.66,27.99,3.53,2.095,56.0
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,108,134.56,147.98,142.81,112.88,35.1,10.58,0.625,52.2
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,112,154.58,170.13,160.81,132.8,37.33,30.6,0.038,46.1
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,116,169.74,185.1,174.36,149.77,35.32,27.62,0.032,42.8
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,120,182.21,196.83,185.58,164.23,32.61,23.42,0.033,40.1
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,124,193.54,205.65,196.29,178.67,26.98,20.32,0.07,40.0
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,128,197.75,210.35,199.49,183.42,26.94,15.08,0.105,36.4
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,132,204.58,216.33,206.56,190.86,25.47,4.29,3.649,37.7
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,136,209.54,222.43,209.54,196.67,25.76,5.7,55.799,30.0
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,140,217.81,231.23,215.51,206.71,24.52,8.19,0.035,20.7
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,144,230.42,241.71,228.05,221.49,20.23,13.62,0.032,18.6
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,148,247.77,250.16,246.31,246.85,3.85,4.53,0.311,
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,152,229.18,234.44,231.49,221.61,12.82,6.04,0.233,47.3
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,156,236.92,240.25,238.64,231.87,8.38,5.93,0.066,49.6
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,160,241.18,241.89,242.38,239.28,3.11,4.84,0.141,
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,164,245.12,242.76,249.5,243.08,6.74,2.6,1.749,
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,168,245.63,241.37,248.51,247.02,7.15,2.3,2.381,
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,172,246.71,240.17,251.36,248.59,11.18,2.5,6.875,166.2
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,176,246.86,240.35,250.58,249.65,10.23,2.82,13.292,175.3
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,180,247.52,241.41,250.92,250.22,9.51,2.82,12.36,176.2
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,184,247.28,241.55,249.75,250.54,8.99,2.28,4.72,184.5
tonefine_wp0.0_g1.0_k1.0_s1.0,0.0,1.0,1.0,1.0,188,251.08,246.83,253.32,253.11,6.49,2.07,0.39,
